,kanwil,cabang,jalan,des_kec,kab_prov,telepon
167,UPC MELATI,CP SETIA BUDI,JALAN FLAMBOYAN NO.06-A MEDAN,"Tanjung Sari, Medan Selayang","Medan, Sumatera Utara",085361802812
168,UPC KAMPUS USU,CP SETIA BUDI,JALAN JAMIN GINTING NO.246,"Padang Bulan, Medan Baru","Medan, Sumatera Utara",08126433691
169,UPC TANJUNG SARI,CP SETIA BUDI,JALAN SETIA BUDI PASAR II NO.44-B,"Tanjung Sari, Medan Selayang","Medan, Sumatera Utara",081362530838
170,UPC PINANG BARIS,CP SETIA BUDI,JL MUSYAWARAH E DESA SAENTIS,"Saentis, Percut Sei Tuan","Deli Serdang, Sumatera Utara",082160052439
171,UPC SAKURA,CP SETIA BUDI,JALAN BUNGA SAKURA NO.24,"Tanjung Selamat, Medan Tuntungan","Medan, Sumatera Utara",0618226954
172,UPC SEI SERAYU,CP SETIA BUDI,JALAN SETIA INDAH -SRI GUNTING,"Tunggal Kanan (Sungal Kanan), Sunggal","Deli Serdang, Sumatera Utara",085262676971
173,CP PEMATANG SIANTAR,Wilayah 1 Medan,JALAN THAMRIN NO.46,"Proklamasi, Siantar Barat","Pematang Siantar, Sumatera Utara",062223271
174,CP SIBOLGA,Wilayah 1 Medan,JALAN DI PANJAITAN NO.74,"Huta Tonga Tonga, Sibolga Utara","Sibolga, Sumatera Utara",063122653
175,CP PADANG SIDEMPUAN,Wilayah 1 Medan,JALAN MESJID RAYA BARU NO.20,"Wek IV, Padang Sidempuan Utara (Padangsidimpuan)","Padang Sidempuan, Sumatera Utara",082161252277
176,CP TARUTUNG,Wilayah 1 Medan,JALAN DI PANJAITAN NO 75,"Hutatoruan VII, Tarutung","Tapanuli Utara, Sumatera Utara",082166675979
177,CP T B ASAHAN,Wilayah 1 Medan,JALAN SUDIRMAN NO.27,"Karya, Tanjung Balai Selatan","Tanjung Balai, Sumatera Utara",062393088
178,CP KISARAN,Wilayah 1 Medan,JALAN HOS COKROAMINOTO NO 27 KISARAN,"Kisaran Timur, Kisaran Timur Kota","Asahan, Sumatera Utara",062342415
179,CP LABUHAN RUKU,Wilayah 1 Medan,JALAN IMAM BONJOL NO 14,"Labuhan Ruku, Talawi","Batu Bara, Sumatera Utara",081269295650
180,CP RANTAU PRAPAT,Wilayah 1 Medan,JALAN. CUT NYAK DIEN NO.3,"Cendana, Rantau Utara","Labuhan Batu, Sumatera Utara",062421772
181,CP PARLUASAN,Wilayah 1 Medan,JALAN PATUAN ANGGI 171,"Baru, Siantar Utara","Pematang Siantar, Sumatera Utara",0622433090
182,UPC BERINGIN,CP PEMATANG SIANTAR,JL.MEDAN KM.10,"Batu Silangit, Tapian Dolok","Simalungun, Sumatera Utara",06227439206
183,UPC MARIHAT,CP PEMATANG SIANTAR,JL. MELANTON SIREGAR NO.123,"Pardamean, Siantar Marihat","Pematang Siantar, Sumatera Utara",062225655
184,UPC ASAHAN,CP PEMATANG SIANTAR,JL. ASAHAN NO.28,"Simalungun, Siantar Selatan","Pematang Siantar, Sumatera Utara",06227550505
185,UPC SIANTAR PLAZA,CP PEMATANG SIANTAR,JL.MERDEKA KOMPLEK SIANTAR PLAZA,"Proklamasi, Siantar Barat","Pematang Siantar, Sumatera Utara",0622430499
186,UPC PASAR HORAS,CP PEMATANG SIANTAR,PSR HORAS GD.1 LT.1 NO.61-62,"Proklamasi, Siantar Barat","Pematang Siantar, Sumatera Utara",085359155919
187,UPC DR CIPTO,CP PEMATANG SIANTAR,JL. DR.CIPTO NO.83,"Dwikora, Siantar Barat","Pematang Siantar, Sumatera Utara",0622434699
188,UPC SIMPANG DUA,CP PEMATANG SIANTAR,JL.DI.PANJAITAN NO.48A,"Nagahuta, Siantar Marihat","Pematang Siantar, Sumatera Utara",0622433611
189,UPC NAGA PITU,CP PEMATANG SIANTAR,JL.MEDAN KM.35,"Sumber Jaya, Siantar Martoba","Pematang Siantar, Sumatera Utara",0622434500
190,UPC PANDAN,CP SIBOLGA,JALAN PADANG SIDEMPUAN LINGKUNGAN 1 N0.41,"Pandan, Pandan","Tapanuli Tengah, Sumatera Utara",0631372091
191,UPC SM RAJA,CP SIBOLGA,JALAN SM RAJA NO.290,"Aek Habil, Sibolga Selatan","Sibolga, Sumatera Utara",063126879
192,UPC BARUS,CP SIBOLGA,JALAN SUDIRMAN NO.09,"Aek Dakka, Barus","Tapanuli Tengah, Sumatera Utara",0638510033
193,UPC PINANG SORI,CP SIBOLGA,JALAN PADANG SISEMPUAN KM 30,"Pinangsori, Pinangsori","Tapanuli Tengah, Sumatera Utara",0631391088
194,UPC SUPRAPTO,CP SIBOLGA,JALAN SUPRAPTO N0.85-C LK.II,"Pancuran Gerobak, Sibolga Kota","Sibolga, Sumatera Utara",063121899
195,UPC BATANG TORU,CP PADANG SIDEMPUAN,"JALAN PUSKESMAS, BELAKANG PASAR BATANG TORU","Wek II Batang Toru, Batang Toru","Tapanuli Selatan, Sumatera Utara",082294642423
196,UPC GUNUNG TUA,CP PADANG SIDEMPUAN,JALAN S.M. RAJA NO.268,"Naga Saribu, Padang Bolak","Padang Lawas Utara, Sumatera Utara",085359444690
197,UPC PENYABUNGAN,CP PADANG SIDEMPUAN,JALAN MERDEKA NO. 111,"Kayu Jati, Panyabungan Kota","Mandailing Natal, Sumatera Utara",085361960039
198,UPC ANUGRAH PLAZA,CP PADANG SIDEMPUAN,JALAN SUDIRMAN EKS,"Wek IV, Padang Sidempuan Utara (Padangsidimpuan)","Padang Sidempuan, Sumatera Utara",085362192483
199,UPC PADANG MATINGGI,CP PADANG SIDEMPUAN,"JALAN IMAM BONJOL, PASAR IMPRES","Aek Tampang, Padang Sidempuan Selatan","Padang Sidempuan, Sumatera Utara",081263039612
200,UPC NATAL,CP PADANG SIDEMPUAN,JL. JEND. SUDIRMAN - SAMPING BRI,"Sibuhuan Julu, Barumun","Padang Lawas, Sumatera Utara",085296752194
201,UPC SIBORONG BORONG,CP TARUTUNG,JALAN MERDEKA NO 55,"Sigumbang, Siborong-Borong","Tapanuli Utara, Sumatera Utara",081269452693
202,UPC BALIGE,CP TARUTUNG,JALAN PATUAN ANGGINO 18 BALIGE,"Napitupulu Bagasan, Balige","Toba Samosir, Sumatera Utara",081360608996
203,UPC PORSEA,CP TARUTUNG,JALAN PATUAN NAGARI NO 32 PORSEA,"Pasar Porsea, Porsea","Toba Samosir, Sumatera Utara",082366797511
204,UPC DOLOK SANGGUL,CP TARUTUNG,JALAN MEDEKA NO 70 DOLOK SANGGUL,"Sitapongan, Sijama Polang","Humbang Hasundutan, Sumatera Utara",081269073778
205,UPC SIPOHOLON,CP TARUTUNG,JALAN BALIGE NO 25 PASAR SIRONGIT SIPOHOLON,"Sipahutar, Sipoholon","Tapanuli Utara, Sumatera Utara",081377042700
206,UPC SIMPANG KAWAT,CP T B ASAHAN,JALAN BESAR SIMPANG KAWAT.NO.24,"Perkebunan Teluk Dalam, Teluk Dalam","Asahan, Sumatera Utara",0623533377
207,UPC SEI PIRING,CP T B ASAHAN,JALAN LINTAS SEI PIRING RAHUNING,"Marjanji Aceh, Aek Songsongan","Asahan, Sumatera Utara",0623355042
208,UPC AEK KENOPAN,CP T B ASAHAN,JALAN MAYOR SIDIK NO.23,"Hasang, Kualuh Selatan","Labuhan Batu Utara, Sumatera Utara",085361334740
209,UPC AIR JOMAN,CP KISARAN,JALAN PROTOKOL NO.16 BINJAI SERBANGAN PASAR 12,"Air Joman, Air Joman","Asahan, Sumatera Utara",082294179690
210,UPC KARTINI,CP KISARAN,JALAN KARTINI NO.163,"Sendang Sari, Kisaran Barat Kota","Asahan, Sumatera Utara",082294179691
211,UPC BHAKTI,CP KISARAN,JALAN BHAKTI NO.31A,"Selawan, Kisaran Timur Kota","Asahan, Sumatera Utara",082294179692
212,UPC INDRAPURA,CP LABUHAN RUKU,"JL. JEND SUDIRMAN, INDRAPURA","Indrapura Kota, Air Putih","Batu Bara, Sumatera Utara",0622646310
213,UPC LIMA PULUH,CP LABUHAN RUKU,"JALAN LINTAS SUMATRA, LIMA PULUH KOTA","Lima Puluh Kota, Limapuluh","Batu Bara, Sumatera Utara",082267276070
214,UPC PERDAGANGAN,CP LABUHAN RUKU,JL.SUDIRMAN,"Perdagangan II, Bandar","Simalungun, Sumatera Utara",082167876462
215,UPC KUALA TANJUNG,CP LABUHAN RUKU,"JALAN ACLESORT INALUM, PAJAK SORE","Tanjung Sigoni, Medang Deras","Batu Bara, Sumatera Utara",081362793197
216,UPC CIKAMPAK,CP RANTAU PRAPAT,JALAN LINTAS SUMATERA UTARA - RIAU CIKAMPAK,"Aek Batu, Torgamba","Labuhan Batu Selatan, Sumatera Utara",081275187634
217,UPC LABUHAN BILIK,CP RANTAU PRAPAT,JALAN PANGLIMA SUDIRMAN 171,"Sei Merdeka, Panai Tengah","Labuhan Batu, Sumatera Utara",0624585043
218,UPC AJAMU,CP RANTAU PRAPAT,JALAN LINTAS TANJUNG SERANG ELANG SIMP. AJAMU,"Tanjung Haloban, Bilah Hilir","Labuhan Batu, Sumatera Utara",06247553143
219,UPC NEGERI LAMA,CP RANTAU PRAPAT,JALAN BESAR NEGERI LAMA,"Tanjung Haloban, Bilah Hilir","Labuhan Batu, Sumatera Utara",0624551325
220,UPC AEK NABARA,CP RANTAU PRAPAT,JALAN. AMPERA NO.20A DESA PERBAUNGAN,"Perbaungan, Bilah Hulu","Labuhan Batu, Sumatera Utara",062429310
221,UPC SIGAMBAL,CP RANTAU PRAPAT,JALAN. H.M.SAID NO.485,"Perdamean, Rantau Selatan","Labuhan Batu, Sumatera Utara",0624327616
222,UPC KAMPUNG PAJAK,CP RANTAU PRAPAT,JALAN LINTAS SUMATERA UTARA KAMPUNG PAJAK,"Pasang Lela, Na IX-X","Labuhan Batu Utara, Sumatera Utara",06245741741
223,UPC KOTA PINANG,CP RANTAU PRAPAT,JALAN. H.M. YAMIN KOTA PINANG,"Kota Pinang, Kota Pinang","Labuhan Batu Selatan, Sumatera Utara",062495521
224,UPC SIMPANG MANGGA,CP RANTAU PRAPAT,JALAN. SM. RAJA NO.158 SIMPANG MANGGA,"Bakaran Batu, Rantau Selatan","Labuhan Batu, Sumatera Utara",0624327608
225,UPC PANGURURAN,CP PARLUASAN,JALAN SISINGAMANGARAJA NOMOR 69,"Pasar Pangururan, Pangururan","Samosir, Sumatera Utara",081396521000
226,UPC PRAPAT,CP PARLUASAN,JALAN SISINGAMANGARAJA,"Parapat, Girsang Sipangan Bolon","Simalungun, Sumatera Utara",062542234
227,UPC PEMATANG RAYA,CP PARLUASAN,JALAN SUDIRMAN NO. 30 PEMATANGSIANTAR,"Kristen, Siantar Selatan","Pematang Siantar, Sumatera Utara",0622433456
228,UPC TANAH JAWA,CP PARLUASAN,JALAN SISINGAMANGARAJA NO. 70,"Bah Jambi III, Tanah Jawa","Simalungun, Sumatera Utara",06227562195
229,CP PEKANBARU KOTA,Wilayah 2 Pekanbaru,JALAN JENDERAL SUDIRMAN NO. 167,"Tangkerang Timur, Tenayan Raya","Pekanbaru, Riau",076126065
230,CP PASAR KODIM,Wilayah 2 Pekanbaru,JALAN TERATAI NO. 92,"Padang Bulan, Senapelan","Pekanbaru, Riau",076121326
231,CP DUMAI,Wilayah 2 Pekanbaru,JALAN JENDERAL SUDIRMAN NO. 160,"Teluk Binjai, Dumai Timur","Dumai, Riau",0765440588
232,CP DURI,Wilayah 2 Pekanbaru,JALAN JEND SUDIRMAN,"Babussalam, Mandau","Bengkalis, Riau",08117097831
233,CP PANGKALAN KERINCI,Wilayah 2 Pekanbaru,JALAN LINTAS TIMUR,"Pangkalan Kerinci Timur, Pangkalan Kerinci","Pelalawan, Riau",0761494954
234,CP PANAM,Wilayah 2 Pekanbaru,"JALAN HR. SUBRANTAS KM 11,5 SIMP KUALU","Tuah Karya, Tampan","Pekanbaru, Riau",0761588163
235,UPC HARAPAN RAYA,CP PEKANBARU KOTA,JALAN H. IMAM MUNANDAR NO.311,"Tangkerang Labuai, Bukit Raya","Pekanbaru, Riau",07617874208
236,UPC SIMPANG TIGA,CP PEKANBARU KOTA,JALAN KH NASUTION NO.122,"Simpang Tiga, Bukit Raya","Pekanbaru, Riau",0761678982
237,UPC BUKIT BARISAN,CP PEKANBARU KOTA,JALAN BUKIT BARISAN NO. 12,"Tangkerang Timur, Tenayan Raya","Pekanbaru, Riau",07617872129
238,UPC SIMPANG BPG,CP PEKANBARU KOTA,JALAN HANG TUAH NO.269,"Rejosari, Tenayan Raya","Pekanbaru, Riau",0761856723
239,UPC LANCANG KUNING,CP PEKANBARU KOTA,JALAN JENDERAL SUDIRMAN NO.449,"Simpang Tiga, Bukit Raya","Pekanbaru, Riau",076126141
240,UPC NANGKA,CP PEKANBARU KOTA,JALAN TUANKU TAMBUSAI NO.398,"Tangkerang Barat, Marpoyan Damai","Pekanbaru, Riau",0761863481
241,UPC PASAR PAGI DURIAN,CP PEKANBARU KOTA,JALAN DURIAN NO.58/65,"Labuh Baru Timur, Payung Sekaki","Pekanbaru, Riau",0761588305
242,UPC PELAJAR,CP PEKANBARU KOTA,JALAN AHMAD DAHLAN NO.59,"Kampung Tengah, Sukajadi","Pekanbaru, Riau",0761862351
243,UPC KERETA API,CP PEKANBARU KOTA,JALAN KERETA API NO.114,"Tangkerang Tengah, Marpoyan Damai","Pekanbaru, Riau",08117097839
244,UPC MARPOYAN,CP PEKANBARU KOTA,JALAN I KAHARUDDIN NASUTION NO. 56A,"Simpang Tiga, Bukit Raya","Pekanbaru, Riau",0761679702
245,UPC PLAZA SUKARAMAI,CP PASAR KODIM,KOMP. PLAZA SUKARAMAI LT. 2 BLOK G NO.18 JALAN JEN,"Kota Baru, Pekanbaru Kota","Pekanbaru, Riau",076139208
246,UPC PASAR SAIL,CP PASAR KODIM,KOMP. PASAR SAIL BLOK F1-F3 JALAN HANG TUAH,"Suka Mulia (Sukamulya), Sail","Pekanbaru, Riau",08117097784
247,UPC MALL PEKANBARU,CP PASAR KODIM,MALL PEKANBARU LT. DASAR BLOK B2-2,"Kota Baru, Pekanbaru Kota","Pekanbaru, Riau",0761850331
248,UPC RUMBAI,CP PASAR KODIM,JALAN KHAYANGAN NO. 55C,"Limbungan, Rumbai Pesisir","Pekanbaru, Riau",08117097817
249,UPC UMBAN SARI,CP PASAR KODIM,JALAN UMBANSARI NO. 92/35B,"Umban Sari, Rumbai","Pekanbaru, Riau",0761554571
250,UPC JENDRAL,CP PASAR KODIM,JALAN JENDRAL NO. 10,"Tampan, Payung Sekaki","Pekanbaru, Riau",08117097820
251,UPC RIAU,CP PASAR KODIM,JALAN RIAU NO. 52,"Tampan, Payung Sekaki","Pekanbaru, Riau",0761857002
252,UPC TANJUNG DATUK,CP PASAR KODIM,JALAN TANJUNG DATUK NO. 150,"Pesisir, Lima Puluh","Pekanbaru, Riau",08117097792
253,UPC JAYA MUKTI,CP DUMAI,JALAN KAHARUDDIN NASUTION NO.56,"Jaya Mukti, Dumai Timur","Dumai, Riau",0765438827
254,UPC JLN. OMBAK,CP DUMAI,JALAN KELAKAP TUJUH NO.106,"Mundam, Medang Kampai","Dumai, Riau",08117097825
255,UPC SUKAJADI DUMAI,CP DUMAI,JALAN P. DIPONEGORO NO. 205,"Rimba Sekampung, Dumai Barat","Dumai, Riau",08117561324
256,UPC BENGKALIS,CP DUMAI,JALAN JENDRAL AHMAD YANI,"Bengkalis Kota, Bengkalis","Bengkalis, Riau",076622807
257,UPC KELAPAPATI,CP DUMAI,JALAN KELAPAPATI LAUT DEPAN PASAR TERUBUK,"Kelapa Pati, Bengkalis","Bengkalis, Riau",08117097758
258,UPC SELAT PANJANG,CP DUMAI,JALAN SIAK INDRAPURA SAMPING MESJID DARUL ULUM,"Selat Panjang Kota, Tebing Tinggi","Kepulauan Meranti, Riau",08117097756
259,UPC PASAR MINGGU,CP DURI,JL JENDRAL SUDIRMAN SIMP GAROGA,"Balai Makam, Mandau","Bengkalis, Riau",08117097835
260,UPC HANGTUAH,CP DURI,JALAN HANG TUAH,"Duri Barat, Mandau","Bengkalis, Riau",08117097832
261,UPC GUNUNG RAYA KANDIS,CP DURI,JALAN PEKANBARU DURI,"Kandis Kota, Kandis","Siak, Riau",08117097834
262,UPC BAGAN SIAPIAPI,CP DURI,JALAN MAWAR NO. 40,"Bagan Kota, Bangko","Rokan Hilir, Riau",08117097827
263,UPC BAGAN BATU,CP DURI,JALAN. JENDRAL SUDIRMAN NO.666,"Bagan Batu, Bagan Sinembah","Rokan Hilir, Riau",076551745
264,UPC SEI BUAYA,CP DURI,JALAN. SISINGAMANGARAJA,"Bagan Batu, Bagan Sinembah","Rokan Hilir, Riau",0765552032
265,UPC TEMBILAHAN,CP PANGKALAN KERINCI,JALAN TELAGA BIRU NO.12,"Seberang Tembilahan, Tembilahan","Indragiri Hilir, Riau",0768325647
266,UPC SEDERHANA,CP PANGKALAN KERINCI,JALAN H. ARIEF (DEPANSMPN 1 TEMBILAHAN),"Sialang Panjang, Tembilahan Hulu","Indragiri Hilir, Riau",076822959
267,UPC SOREK,CP PANGKALAN KERINCI,SOREK,"Sorek Satu, Pangkalan Kuras","Pelalawan, Riau",08117591481
268,UPC BELILAS,CP PANGKALAN KERINCI,JALAN PANGKALAN KASAI,"Pangkalan Kasai, Seberida","Indragiri Hulu, Riau",081394288991
269,UPC PASAR PANGKALAN KERINCI,CP PANGKALAN KERINCI,JALAN LINTAS TINNUR NO.52,"Pangkalan Kerinci Timur, Pangkalan Kerinci","Pelalawan, Riau",076195120
270,UPC SIMPANG LANGGAM,CP PANGKALAN KERINCI,JALAN LINTAS SIMPANG LANGGAM,"Pangkalan Kerinci Timur, Pangkalan Kerinci","Pelalawan, Riau",08117587880
271,UPC RENGAT,CP PANGKALAN KERINCI,JALAN NARASINGA NO. 7B,"Kampung Besar Seberang, Rengat","Indragiri Hulu, Riau",076921874
272,UPC AIR MOLEK,CP PANGKALAN KERINCI,JALAN JENDRAL SUDIRMAN,"Candi Rejo, Pasir Penyu","Indragiri Hulu, Riau",076941536
273,UPC PERAWANG,CP PANGKALAN KERINCI,JALAN RAYA PERAWANG KM 05,"Tualang, Tualang","Siak, Riau",076192211
274,UPC PASAR PERAWANG,CP PANGKALAN KERINCI,JALAN SUTOMO,"Teluk Lancang, Sungai Mandau","Siak, Riau",08117097841
275,UPC PASAR DELIMA,CP PANAM,JL. SRIKANDI NO. 24,"Tuah Karya, Tampan","Pekanbaru, Riau",0761588811
276,UPC TELUK KUANTAN,CP PANAM,JALAN JEND. SUDIRMAN,"Sawah, Kuantan Tengah","Kuantan Singingi, Riau",076020223
277,UPC AHMAD YANI,CP PANAM,JALAN SOEKARNO-HATTA,"Tuah Karya, Tampan","Pekanbaru, Riau",08117097821
278,UPC TAMPAN,CP PANAM,JALAN HR SUBRANTAS NO 187,"Sidomulyo Barat, Tampan","Pekanbaru, Riau",08117097889
279,UPC GARUDA SAKTI,CP PANAM,JALAN GARUDA SAKTI NO 33,"Simpang Baru, Tampan","Pekanbaru, Riau",08117097890
280,UPC PASAR PAGI ARENGKA,CP PANAM,JALAN ADI SUCIPTO NO. 568,"Maharatu, Marpoyan Damai","Pekanbaru, Riau",0761588807
281,UPC TARAI,CP PANAM,JALAN SUKA KARYA SAMPING SDN 111,"Tuah Karya, Tampan","Pekanbaru, Riau",0761565350
282,UPC PASIR PENGARAYAN,CP PANAM,JALAN TUANKU TAMBUSAI,"Sejati, Rambah Hilir","Rokan Hulu, Riau",08117097894
283,UPC UJUNG BATU II,CP PANAM,JALAN SUDIRMAN,"Ujung Batu, Ujung Batu","Rokan Hulu, Riau",08117097895
284,UPC SEI JERING,CP PANAM,JALAN PROKLAMASI,"Pulau Aro, Kuantan Tengah","Kuantan Singingi, Riau",076020759
285,CP TANJUNG BALAI KARIMUN,Wilayah 2 Pekanbaru,JALAN PEGADAIAN NO. 65,"Tanjung Balai, Karimun","Karimun, Kepulauan Riau",077721125
286,CP TANJUNG PINANG,Wilayah 2 Pekanbaru,JALAN BINTAN NO 55,"Tanjung Pinang Kota, Tanjung Pinang Kota","Tanjung Pinang, Kepulauan Riau",077121576
287,CP BENGKONG,Wilayah 2 Pekanbaru,KOMP. RUKO BENGKONG MAS BLOK B NO.01,"Bengkong Indah, Bengkong","Batam, Kepulauan Riau",0778433648
288,CP BATU AJI,Wilayah 2 Pekanbaru,"JALAN R.SUPRAPTO,KOMP PSR MELAYU BLOK A NO.15-16","Batu Aji, Batu Aji","Batam, Kepulauan Riau",0778394929
289,CP BUKIT BESTARI,Wilayah 2 Pekanbaru,JALAN RAJA ALI HAJI NO.52,"Tanjung Ayun Sakti, Bukit Bestari","Tanjung Pinang, Kepulauan Riau",077128319
290,CP NATUNA,Wilayah 2 Pekanbaru,JL. DATUK KAYA WAN MOHD. BENTENG RANAI,"Ranai Kota, Bunguran Timur","Natuna, Kepulauan Riau",08117097883
291,CP CIPTA PURI,Wilayah 2 Pekanbaru,KOMPLEK PERTOKOAN CIPTA PURI BLOK BB NO.8,"Tiban Baru, Sekupang","Batam, Kepulauan Riau",08117097898
292,CP MEGA LEGENDA,Wilayah 2 Pekanbaru,RUKO MEGA LEGENDA BLOK B2 NO 39,"Baloi Permai, Batam Kota","Batam, Kepulauan Riau",07787495248
293,CP TANJUNGPINANG TIMUR,Wilayah 2 Pekanbaru,JALAN DI PANJAITAN KM X KOMP PERTOKOAN CENTRE PARK,"Batu IX (Sembilan), Tanjung Pinang Timur","Tanjung Pinang, Kepulauan Riau",0771441940
294,CP NAGOYA,Wilayah 2 Pekanbaru,KOMPLEK PENUIN CENTRE BLOK B 10,"Batu Selicin, Lubuk Baja","Batam, Kepulauan Riau",0778423379
295,CP SEI JODOH,Wilayah 2 Pekanbaru,JALAN RAYA ALI HAJI KOMP TG PANTUN BLOK U NO 8,"Sungai Jodoh, Batu Ampar","Batam, Kepulauan Riau",0778454237
296,UPC KAMPUNG SIMPANGAN,CP TANJUNGPINANG TIMUR,JALAN RAYA TANJUNGUBAN KM 16,"Kijang Kota, Bintan Timur","Bintan, Kepulauan Riau",085363714929
297,UPC TANJUNG UBAN,CP TANJUNGPINANG TIMUR,JALAN PERMAISURI KOMPLEK RUKO BARU NO.5 DEPAN VIH,"Tanjung Uban Timur, Bintan Utara","Bintan, Kepulauan Riau",0771483820
298,UPC SEI KECIL,CP TANJUNGPINANG TIMUR,JALAN BHAKTI PRAJA PASAR BARU-TANJUNG UBAN,"Tanjung Uban Timur, Bintan Utara","Bintan, Kepulauan Riau",08117097753
299,UPC PASAR BINTAN CENTER,CP TANJUNGPINANG TIMUR,KOMP BINTAN CENTRE BLOK O NO.19,"Pinang Kencana, Tanjung Pinang Timur","Tanjung Pinang, Kepulauan Riau",0771442305
300,UPC PASAR BERDIKARI,CP TANJUNGPINANG TIMUR,JALAN PASAR BERDIKARI NO.90 KM 37,"Kijang Kota, Bintan Timur","Bintan, Kepulauan Riau",0771462238
301,UPC SEI LEKOP,CP TANJUNGPINANG TIMUR,JALAN LINGKAR WACOPEK NO.73 KM 20,"Kijang Kota, Bintan Timur","Bintan, Kepulauan Riau",085265629378
302,UPC GANET,CP TANJUNGPINANG TIMUR,PERM BINTAN PERMAI BLOK A NO.1,"Pinang Kencana, Tanjung Pinang Timur","Tanjung Pinang, Kepulauan Riau",08117097750
303,UPC BOTANIA GARDEN,CP NAGOYA,RUKO BOTANIA BLOK A NO 18,"Belian, Batam Kota","Batam, Kepulauan Riau",08117097776
304,UPC TANJUNG UMA,CP NAGOYA,PASAR TANJUNG UMA,"Tanjung Uma, Lubuk Baja","Batam, Kepulauan Riau",0778450828
305,UPC KURNIA DJAYA ALAM,CP NAGOYA,RUKO KDA BLOK C-8,"Belian, Batam Kota","Batam, Kepulauan Riau",07787486547
306,UPC BATU BESAR,CP NAGOYA,JALAN HANG JEBAT NO 3 A,"Batu Besar, Nongsa","Batam, Kepulauan Riau",0778761425
307,UPC PASAR NASA CENTRE,CP NAGOYA,JALAN ABUL YATAMA BLOK C NO 34,"Belian, Batam Kota","Batam, Kepulauan Riau",07788098677
308,UPC CENTERPOINT,CP NAGOYA,"HOTEL NAGOYA PLAZA, JL IMAM BONJOL","Lubuk Baja Kota, Lubuk Baja","Batam, Kepulauan Riau",08117097760
309,UPC NAGOYA PERMAI,CP NAGOYA,KOMP. NAGOYA PERMAI BLOK.A NO.17,"Lubuk Baja Kota, Lubuk Baja","Batam, Kepulauan Riau",0778427011
310,UPC BCS MALL,CP NAGOYA,BCS MALL,"Batu Selicin, Lubuk Baja","Batam, Kepulauan Riau",08117097763
311,UPC SEI TERING,CP SEI JODOH,KOMPLEK MELCEM RUKO A-4,"Tanjung Sengkuang, Batu Ampar","Batam, Kepulauan Riau",07787415764
312,UPC TJ.SENGKUANG,CP SEI JODOH,PERUMAHAN GMP BLOK B-02,"Tanjung Sengkuang, Batu Ampar","Batam, Kepulauan Riau",08117097764
313,UPC AVAVA PLAZA,CP SEI JODOH,AVAVA PLAZA,"Lubuk Baja Kota, Lubuk Baja","Batam, Kepulauan Riau",082285940083
314,UPC DC MALL,CP SEI JODOH,DAIMOND CITY MALL LANTAI DASAR BLOK E NO 21,"Tanjung Uma, Lubuk Baja","Batam, Kepulauan Riau",0778424023
315,UPC PUNGGUR,CP SEI JODOH,RUKO JASINTA BLOK A NO 18,"Kabil, Nongsa","Batam, Kepulauan Riau",0778711592
316,UPC HAPPY GARDEN,CP SEI JODOH,PERUMAHAN HAPPY GARDEN BLOK H NO.143,"Batu Selicin, Lubuk Baja","Batam, Kepulauan Riau",0778430674
317,UPC PASAR MERAL,CP TANJUNG BALAI KARIMUN,JALAN AHMAD YANI NO.64,"Meral Kota, Meral","Karimun, Kepulauan Riau",08117097795
318,UPC TELUK UMA,CP TANJUNG BALAI KARIMUN,JALAN PERTAMBANGAN TELUK UMA,"Teluk Uma, Tebing","Karimun, Kepulauan Riau",08117097796
319,UPC SEI LAKAM,CP TANJUNG BALAI KARIMUN,JALAN AHMAD YANI NO.110,"Sungai Lakam, Karimun","Karimun, Kepulauan Riau",08117097797
320,UPC PARIT BENUT,CP TANJUNG BALAI KARIMUN,JALAN LETJEN SUPRAPTO,"Sei/Sungai Raya, Meral","Karimun, Kepulauan Riau",08117097798
321,UPC PADI MAS,CP TANJUNG BALAI KARIMUN,JALAN PERTAMBANGAN,"Kapling, Tebing","Karimun, Kepulauan Riau",08117097802
322,UPC SAWANG,CP TANJUNG BALAI KARIMUN,JALAN BESAR SAWANG,"Sawang, Kundur Barat","Karimun, Kepulauan Riau",08117097804
323,UPC TANJUNG BATU,CP TANJUNG BALAI KARIMUN,JALAN JENDRAL SUDIRMAN NO 204,"Lebuh, Kundur Utara","Karimun, Kepulauan Riau",0779431003
324,UPC KIJANG,CP TANJUNG PINANG,JL. BAREK MOTOR NO. 19,"Kijang Kota, Bintan Timur","Bintan, Kepulauan Riau",08117097806
325,UPC SUKA BERENANG,CP TANJUNG PINANG,JALAN IR SUTAMI NO 43,"Tanjung Pinang Timur, Bukit Bestari","Tanjung Pinang, Kepulauan Riau",0771314818
326,UPC SEI JANG,CP TANJUNG PINANG,JALAN ARIF RAHMAN HAKIM,"Sei Jang, Bukit Bestari","Tanjung Pinang, Kepulauan Riau",077120991
327,UPC MALL RAMAYANA,CP TANJUNG PINANG,JALAN N WIRATNO MALL RAMAYANA,"Tanjung Pinang Barat, Tanjung Pinang Barat","Tanjung Pinang, Kepulauan Riau",077122818
328,UPC DABO SINGKEP,CP TANJUNG PINANG,JL KARTINI,"Dabo, Singkep","Lingga, Kepulauan Riau",08117097814
329,UPC TANJUNG UNGGAT,CP TANJUNG PINANG,JALAN SULTAN MACHMUD NO. 9 E,"Tanjung Unggat, Bukit Bestari","Tanjung Pinang, Kepulauan Riau",08117097812
